Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Jalil Martin,ATH,Kenwood Academy,Chicago,IL,"
                6",3 ," 190
            ",0.8763,Illinois,2022,572.0,34.0,10.0,3,Nebraska,//247sports.com/player/jalil-martin-46099914
Aidan Laughery,ATH,Gcms,Gibson City,IL,"
                5",11 ," 188
            ",0.8714,Illinois,2022,654.0,42.0,12.0,3,Illinois,//247sports.com/player/aidan-laughery-46103029
Aidan Gousby,ATH,Lehigh Senior,Lehigh Acres,FL,"
                6",2 ," 185
            ",0.8581,Illinois,2022,958.0,67.0,123.0,3,Minnesota,//247sports.com/player/aidan-gousby-46113554
Isaiah Gordon,ATH,Mainland,Daytona Beach,FL,"
                6",0 ," 214
            ",0.8526,Illinois,2022,,78.0,145.0,3,Marshall,//247sports.com/player/isaiah-gordon-46082107
Ashton Hollins,ATH,George County,Lucedale,MS,"
                6",4 ," 170
            ",0.8472,Illinois,2022,,90.0,30.0,3,Illinois,//247sports.com/player/ashton-hollins-46116449
Drew Allar,QB,Medina,Medina,OH,"
                6",4.5 ," 232
            ",0.9852,Illinois,2022,32.0,4.0,3.0,5,Penn State,//247sports.com/player/drew-allar-46096466
Sam Horn,QB,Collins Hill,Suwanee,GA,"
                6",4 ," 190
            ",0.9429,Illinois,2022,139.0,8.0,14.0,4,Missouri,//247sports.com/player/sam-horn-46098974
Tayven Jackson,QB,Center Grove,Greenwood,IN,"
                6",4 ," 195
            ",0.9179,Illinois,2022,208.0,13.0,7.0,4,Tennessee,//247sports.com/player/tayven-jackson-46093623
Donovan Leary,QB,Timber Creek,Sicklerville,NJ,"
                6",2 ," 190
            ",0.8477,Illinois,2022,,76.0,26.0,3,Illinois,//247sports.com/player/donovan-leary-46082569
Carson Hinzman,IOL,Saint Croix Central,Hammond,WI,"
                6",4 ," 280
            ",0.93,Illinois,2022,175.0,9.0,3.0,4,Ohio State,//247sports.com/player/carson-hinzman-46085697
Jacob Allen,IOL,Hun School,Princeton,NJ,"
                6",6 ," 270
            ",0.9173,Illinois,2022,212.0,11.0,2.0,4,Rutgers,//247sports.com/player/jacob-allen-46058503
Patrick Kutas,IOL,Christian Brothers,Memphis,TN,"
                6",6 ," 303
            ",0.8907,Illinois,2022,380.0,15.0,13.0,4,Arkansas,//247sports.com/player/patrick-kutas-46103516
Landen Livingston,IOL,Leo HS,Leo,IN,"
                6",4 ," 280
            ",0.8735,Illinois,2022,620.0,29.0,13.0,3,West Virginia,//247sports.com/player/landen-livingston-46101450
Tristan Wilson,IOL,Lebanon,Lebanon,MO,"
                6",5 ," 295
            ",0.8647,Illinois,2022,808.0,42.0,17.0,3,Missouri,//247sports.com/player/tristan-wilson-46111694
Zy Crisler,IOL,Mississippi Gulf Coast C.C.,Perkinston,MS,"
                6",7 ," 350
            ",0.8614,Illinois,2022,24.0,2.0,7.0,3,Illinois,//247sports.com/player/zy-crisler-46129183
Joey Okla,IOL,Arrowhead,Hartland,WI,"
                6",3 ," 285
            ",0.8612,Illinois,2022,900.0,45.0,9.0,3,Illinois,//247sports.com/player/joey-okla-46104108
Clayton Leonard,IOL,Iroquois West,Gilman,IL,"
                6",4 ," 265
            ",0.8276,Illinois,2022,,102.0,34.0,3,Illinois,//247sports.com/player/clayton-leonard-46104112
Jaylen Sneed,LB,Hilton Head,Hilton Head Island,SC,"
                6",2 ," 210
            ",0.9835,Illinois,2022,34.0,3.0,2.0,5,Notre Dame,//247sports.com/player/jaylen-sneed-46094578
