Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MJ Morris,QB,Carrollton,Carrollton,GA,6,2.0,190,0.887,Alabama,2022,421.0,27.0,43.0,3,NC State,//247sports.com/player/mj-morris-46079322
Kaden Martin,QB,McDonogh School,Owings Mills,MD,6,0.0,210,0.8441,Alabama,2022,,82.0,29.0,3,,//247sports.com/player/kaden-martin-46056928
Devon Campbell,IOL,Bowie,Arlington,TX,6,3.0,310,0.9944,Alabama,2022,10.0,1.0,3.0,5,Texas,//247sports.com/player/devon-campbell-46093947
Earnest Greene,IOL,St. John Bosco,Bellflower,CA,6,4.5,330,0.9805,Alabama,2022,45.0,2.0,3.0,4,Georgia,//247sports.com/player/earnest-greene-46080544
Kam Dewberry,IOL,Atascocita,Humble,TX,6,4.0,313,0.9723,Alabama,2022,64.0,3.0,10.0,4,Texas A&M,//247sports.com/player/kam-dewberry-46056698
Neto Umeozulu,IOL,Allen,Allen,TX,6,4.0,285,0.9599,Alabama,2022,91.0,4.0,16.0,4,Texas,//247sports.com/player/neto-umeozulu-46102211
Emery Jones,IOL,Catholic,Baton Rouge,LA,6,4.0,341,0.9549,Alabama,2022,110.0,5.0,11.0,4,LSU,//247sports.com/player/emery-jones-46101512
Addison Nichols,IOL,Greater Atlanta Christian School,Norcross,GA,6,5.0,318,0.9422,Alabama,2022,143.0,6.0,15.0,4,Tennessee,//247sports.com/player/addison-nichols-46080082
Julian Armella,IOL,St. Thomas Aquinas,Fort Lauderdale,FL,6,6.0,285,0.9395,Alabama,2022,152.0,8.0,18.0,4,Florida State,//247sports.com/player/julian-armella-46079370
Carson Hinzman,IOL,Saint Croix Central,Hammond,WI,6,4.0,280,0.93,Alabama,2022,175.0,9.0,3.0,4,Ohio State,//247sports.com/player/carson-hinzman-46085697
Jacob Allen,IOL,Hun School,Princeton,NJ,6,6.0,270,0.9173,Alabama,2022,212.0,11.0,2.0,4,Rutgers,//247sports.com/player/jacob-allen-46058503
Jaylen Early,IOL,Duncanville,Duncanville,TX,6,4.0,320,0.8961,Alabama,2022,326.0,13.0,47.0,4,Florida State,//247sports.com/player/jaylen-early-46082827
Cole Hutson,IOL,Frisco,Frisco,TX,6,5.0,312,0.8924,Alabama,2022,369.0,14.0,49.0,4,Texas,//247sports.com/player/cole-hutson-46098336
Jalen Farmer,IOL,Eastside,Covington,GA,6,5.0,325,0.87,Alabama,2022,699.0,32.0,74.0,3,Florida,//247sports.com/player/jalen-farmer-46101883
Mo Clipper Jr.,IOL,Milton,Alpharetta,GA,6,4.0,300,0.8676,Alabama,2022,748.0,37.0,78.0,3,Tennessee,//247sports.com/player/mo-clipper-jr-46112052
Tristan Wilson,IOL,Lebanon,Lebanon,MO,6,5.0,295,0.8647,Alabama,2022,808.0,42.0,17.0,3,Missouri,//247sports.com/player/tristan-wilson-46111694
